family,candidate,candidate_kind,confidence,licence,gov_adopters,url,why
SAP,Odoo,oss-replacement,partial,LGPL-3.0,1,https://github.com/odoo/odoo,"$1.17M. Same caution as Salesforce, more so."
Citrix,Apache Guacamole,oss-replacement,partial,Apache-2.0,4,https://github.com/apache/guacamole-server,"$27.22M - the largest `partial` in the inventory. Guacamole is a remote-access gateway; Citrix VDI is a desktop-virtualisation platform. NOT equivalent. Listed because $27M deserves an explicit assessment, and the honest assessment is that this is not a drop-in."
TeamViewer,RustDesk,oss-replacement,strong,AGPL-3.0,5,https://github.com/rustdesk/rustdesk,$47K - same match as GoToMyPC.

# --- SURVEYS: the cleanest match found, ~$816K across four products -------------
SurveyMonkey,LimeSurvey,oss-replacement,strong,GPL-3.0-only,18,https://github.com/LimeSurvey/LimeSurvey,"Catalogued as 'simple, fast and anonymous online survey tool' with 18 SILL adopters. Direct functional equivalent and the most government-proven match on this list."
SurveyGizmo,LimeSurvey,oss-replacement,strong,GPL-3.0-only,18,https://github.com/LimeSurvey/LimeSurvey,Same capability as SurveyMonkey; one platform could absorb both.
Alchemer,LimeSurvey,oss-replacement,strong,GPL-3.0-only,18,https://github.com/LimeSurvey/LimeSurvey,Alchemer is SurveyGizmo renamed - consolidating the three survey tools is the finding as much as the substitution.
Surveyapp,LimeSurvey,oss-replacement,partial,GPL-3.0-only,18,https://github.com/LimeSurvey/LimeSurvey,"$17K. Kiosk/pulse-feedback shape; LimeSurvey covers it but is not purpose-built for it."
# --- HELPDESK / TICKETING: ~$144K -----------------------------------------------
IssueTrak,Zammad,oss-replacement,strong,AGPL-3.0-only,,https://github.com/zammad/zammad,"Catalogued via openCode as a web-based open-source helpdesk and customer-support system."
IssueTrak,iTop,oss-replacement,partial,AGPL-3.0-only,2,https://github.com/Combodo/iTop,"ITIL service management with helpdesk AND a CMDB - more than IssueTrak does, which is a migration cost as well as a benefit."
Track-It!,Zammad,oss-replacement,strong,AGPL-3.0-only,,https://github.com/zammad/zammad,Same capability; consolidating both helpdesks onto one tool is the larger win.
Track-It!,uniTicket,oss-replacement,adjacent,AGPL-3.0-or-later,,https://github.com/UniversitaDellaCalabria/uniTicket,Django ticket system from Developers Italia; university-oriented so read before assuming fit.
# --- REMOTE DESKTOP: $174K ------------------------------------------------------
GoToMyPC,Apache Guacamole,oss-replacement,strong,Apache-2.0,,https://github.com/apache/guacamole-server,"Clientless remote desktop gateway over standard protocols - browser-based, which is the closest shape to GoToMyPC."
GoToMyPC,RustDesk,oss-replacement,strong,AGPL-3.0,5,https://github.com/rustdesk/rustdesk,5 SILL adopters; self-hostable relay.
GoToMyPC,Remmina,oss-replacement,partial,GPLv2+,5,https://gitlab.com/Remmina/Remmina,"A client, not a gateway - fits desk-to-desk access, not unattended remote support."
# --- LMS PLATFORM: $176K. ⚠ platform only, NOT the content subscriptions --------
Absorb LMS,Moodle,oss-replacement,strong,GPL-3.0-only,36,https://github.com/moodle/moodle,"30 SILL + 6 Offentligkod adopters - the most widely adopted entry relevant to this inventory. ⚠ Replaces the PLATFORM. It does not replace LinkedIn Learning, Pluralsight or GO1, which are content libraries (see license_family_class.csv)."
Absorb LMS,ILIAS,oss-replacement,partial,GPL-3.0-or-later,1,https://github.com/ILIAS-eLearning/ILIAS,Catalogued in both openCode and SILL as a full learning platform.
Absorb LMS,Chamilo,oss-replacement,partial,GPL-3.0-or-later,2,https://github.com/chamilo/chamilo-lms,Distance-learning platform; lighter than Moodle.
SCORM Cloud,Moodle,oss-replacement,partial,GPL-3.0-only,36,https://github.com/moodle/moodle,"$5K. Moodle consumes SCORM packages natively, so this may simply disappear with an LMS migration."
# --- FORMS + WORKFLOW: ~$787K. Weakest of the 'strong-ish' clusters ------------
Seamless GovOS,Formulardesigner,oss-replacement,partial,MPL-2.0,,https://gitlab.opencode.de,"Modular accessible form designer built for German public administration. ⚠ Built around German administrative conventions - real localisation work."
Seamless GovOS,Form PA,oss-replacement,partial,AGPL-3.0-or-later,,https://github.com/italia,"Developers Italia - turns PDF processes into web forms, which is the same problem statement."
Seamless GovOS,Goupile,oss-replacement,adjacent,AGPL-3.0,1,https://github.com/Koromix/goupile,Form designer aimed at electronic case report forms; narrower than a general forms platform.
Seamless GovOS,CIB seven,oss-replacement,adjacent,Apache-2.0,,https://github.com/cibseven,"Camunda 7 fork for workflow/process automation - covers the workflow half, not the forms half."
Jotform,Formulardesigner,oss-replacement,partial,MPL-2.0,,https://gitlab.opencode.de,$39K. Same caveats as above.
# --- ALREADY OPEN SOURCE: the substitute is the same product -------------------
GeoServer,GeoServer,oss-same-product,strong,GNU GPLv2,7,https://github.com/geoserver/geoserver,"$74K. GeoServer is itself catalogued with 5 SILL + 2 Offentligkod adopters. The question is whether the commercial tier earns its price, not what to switch to."
NGINX Plus,nginx,oss-same-product,strong,BSD-2-Clause,,https://github.com/nginx/nginx,$85K for the commercial edition of an open-source web server.
Anaconda,Anaconda,oss-same-product,partial,BSD-3-Clause,,https://anaconda.com/,"$67K. Open-source core; ⚠ Anaconda changed its license terms for larger organisations, so confirm which terms apply before assuming a free path."
DBeaver,DBeaver Community,oss-same-product,strong,Apache-2.0,,https://github.com/dbeaver/dbeaver,$25K. Community edition is fully open source.
Shiny Server Pro,Shiny Server,oss-same-product,strong,AGPL-3.0,,https://github.com/rstudio/shiny-server,$69K for the Pro tier of an open-source dashboard server.
Elasticsearch,OpenSearch,oss-replacement,strong,Apache-2.0,,https://github.com/opensearch-project/OpenSearch,"$65K. ⚠ Elasticsearch is NO LONGER open source (SSPL 1.0 / Elastic License 2.0) - its own catalogue entry says so. OpenSearch is the Apache-2.0 fork and is separately catalogued. This is a migration, not a tier change."
# --- HOSTING: substitution is the SECOND lever; benchmarking is the first ------
Socrata,CKAN,oss-replacement,strong,AGPL-3.0,,https://github.com/ckan/ckan,"$828K open-data portal hosting. CKAN is the established open-source open-data portal. ⚠ This platform is itself an open-data product, so the build-vs-buy judgement here is better informed than anywhere else on the list."
Box,Nextcloud,oss-replacement,partial,AGPL-3.0-or-later,58,https://github.com/nextcloud,"$656K. 44 SILL + 14 Offentligkod adopters - the most-adopted file-sharing entry. ⚠ Per-seat cost benchmark first; a self-hosted migration for 3 agencies is a program, not a swap."
WP Engine,,hosting-alt,none,,,,"$177K. ⚠ NOT a software license and NOT therefore excused. WordPress is free; this buys hosting and ops. WP Engine publishes per-site and per-visit list pricing, so divide $177K by the number of sites and compare - a public rate card makes this the most checkable line on the page, easier than any open-source swap."
Pantheon,,hosting-alt,none,,,,"$681K (family total; an earlier $319K figure counted only one contract). Same rate-card arithmetic as WP Engine at four times the value."
Amazon Web Services,,hosting-alt,none,,,,"$6.80M and rated `low` replaceability, so it never surfaced in the replaceability view at all. Metered consumption: the levers are committed-use/reserved coverage, rightsizing and idle-resource elimination - not substitution. Largest hosting-class line in the inventory."
# --- MICROSOFT: mapped, but NOT as a $643M saving ------------------------------
# ⚠⚠ /by-product.json maps Microsoft -> LibreOffice at `partial` + kind `service`,
# and Microsoft Office -> LibreOffice at `strong` + `software`. The distinction is
# the whole point: our Microsoft family is $643.5M of ENTERPRISE AGREEMENT,
# operating systems, databases and support contracts. LibreOffice replaces the
# office-suite slice. Reporting $643.5M as replaceable would be the single
# largest category error available on this page.
Microsoft Office,LibreOffice,oss-replacement,strong,MPL-2.0,87,https://github.com/LibreOffice/core,"$18K on the separately-named 'Microsoft Office' family. 87 government adopters - the most-adopted office suite in the catalogue."
Microsoft,LibreOffice,oss-replacement,adjacent,MPL-2.0,87,https://github.com/LibreOffice/core,"$643.5M family. Marked `adjacent` DELIBERATELY: the catalogue itself says partial/service. This row exists to stop the match being re-derived as a saving, not to propose one."

# --- SEARCHED AND FOUND NOTHING. Kept so nobody repeats the search ------------
# ⚠ REVISED 2026-08-13: only the four gaps the catalogue ASSERTS in
# /meta.json -> known_gaps are real absences. Everything else previously recorded
# here as 'none-found' was an unanswered question, and one (Atlassian) was simply
# wrong. The four confirmed gaps below are corroborated by the catalogue's own
# gap list, not just by a search that came back empty.
Hootsuite,,none-found,none,,,,"$902K, the largest `high`-rated line. Searched 'social media' - ZERO catalogue entries. European public-sector open source has no social-media scheduling tool. A real gap in the commons, not an oversight in the search."
Voicecast,,none-found,none,,,,"$900K mobile text messaging. Searched 'sms' and 'mass mailing' - nothing usable. ⚠ Overlaps Twilio ($529K, cloud SMS/voice API) - check for duplicate capability before looking for a replacement."
Fulcrum,,none-found,none,,,,$278K field data collection. Searched 'field data' - zero results.
Spectrio,,none-found,none,,,,$86K digital signage. Searched 'signage' - one unrelated QGIS cycle-route plugin.
Acuvate Chatbot,,none-found,none,,,,"$476K customer-service automation. Catalogue has ChatMD, BASTI and an ITZBund evaluation bot - all experimental or narrow, none a service-desk chatbot replacement."
# ⚠ CORRECTED: this was recorded as none-found on 2026-08-11 with the claim "no
# Redmine, OpenProject or Taiga in the catalogue". THAT WAS FALSE. All three are
# present; the browser search failed because it queried the category phrase
# ("project management") rather than the product name. /by-product.json maps
# Jira -> OpenProject (strong, 21 adopters) and Redmine (strong), and
# Confluence -> BookStack (strong) and Wiki.js (strong). A negative finding from
# a keyword search is only as good as the keyword.
Atlassian (Jira/Confluence),OpenProject,oss-replacement,strong,GPL-3.0,21,https://github.com/opf/openproject,"$207K. Highest-adoption project-management entry in the catalogue. Replaces the Jira half; pair with BookStack or Wiki.js for Confluence."
JIRA,OpenProject,oss-replacement,strong,GPL-3.0,21,https://github.com/opf/openproject,$71K on a separately-named family - candidate for a curated merge with Atlassian.
Confluence and Jira,BookStack,oss-replacement,strong,MIT,5,https://github.com/BookStackApp/BookStack,"$28K. Catalogued wiki/documentation platform; Wiki.js is the other strong option."
OrgChart Now,Diagrams.net,oss-replacement,adjacent,Apache-2.0,5,https://www.diagrams.net,"$139K. General diagramming with 5 Offentligkod adopters; does NOT do org-chart generation from an HR data source, which is the actual capability bought."
