product,family,generic,why
Privileged Access Management,(unidentified),1,Generic capability not a product
EHR System,(unidentified),1,Generic description not a product
Electronic Health Records System,(unidentified),1,Generic description not a product
VMS Software,(unidentified),1,Ambiguous - could be several vendors
Timekeeper,(unidentified),1,Generic description not a product
Unspecified,(unidentified),1,Not a product name
Unspecified Software,(unidentified),1,Not a product name
Various Software,(unidentified),1,Not a product name
# ⚠ MERGES ADDED 2026-08-12, both verified against the contract records rather
# than inferred from the names.
#
# AT&T vehicle tracking: ONE continuous DCAS relationship the classifier split by
# reading two different product strings out of an IDENTICAL contract title
# ("Renewal of Real-time Vehicle Tracking"), same vendor (AT&T MOBILITY), same
# agency, CONSECUTIVE non-overlapping terms 09/2021->09/2022 and 09/2022->09/2024.
# ⚠ DELIBERATELY NOT merged into Geotab, whose contract begins 09/01/2024 exactly
# as this one ends. The succession is real and is recorded in the class `why`, but
# merging would assert that the earlier AT&T-branded service WAS the Geotab
# product, and nothing in this data establishes that. Same discipline as keeping
# Casebuilder and ShotSpotter separate under one vendor.
AT&T Fleet Tracking,AT&T Vehicle Tracking,,"Same DCAS contract line as AT&T Vehicle Tracking - identical title, same vendor, consecutive terms"
# Lexis+ is LexisNexis's current research platform, and the City buys both under
# the same relationship. ⚠ Westlaw stays separate: it is Thomson Reuters, a
# genuinely different vendor and a competing product.
Lexis+,LexisNexis,,"LexisNexis current-generation research platform - same vendor and relationship"
