# WHAT KIND OF PURCHASE IS THIS? One row per license family.
#
# ⚠⚠ THIS FILE EXISTS BECAUSE THE REPLACEABILITY RATING HIDES MONEY.
# build_vs_buy asks "could the City build this itself?". That is the wrong question
# for hosting and cloud infrastructure, so those land on `low` and drop out of every
# view built on replaceability. Measured 2026-08-11: Amazon Web Services is $6.80M
# rated `low` -- two thirds the size of the entire `high` set ($10.13M) -- and it
# never appeared in the replaceability analysis at all. Rocket Software $4.22M,
# SolarWinds $1.22M and Nerdio $1.12M are the same story.
#
# A "you cannot build your own AWS" rating is correct and useless. The lever for
# infrastructure is PRICE, not substitution: rate cards are public, committed-use
# discounts exist, and volume is knowable. Classifying the purchase is what lets the
# right question get asked of each line.
#
# CLASSES, and the lever each one implies:
#   software-licence      a license to run/use software        -> open-source substitute
#   managed-hosting       someone else runs it for you         -> benchmark the price, or self-host
#   cloud-infrastructure  metered consumption (IaaS/PaaS)      -> rightsizing, committed use, FinOps
#   oss-support-tier      paid edition/support of OSS          -> is the paid tier needed at all?
#   content-subscription  training libraries, data feeds       -> is the content needed? cheaper source?
#   professional-services instructor-led training, consulting  -> scope and rate review
#   support-maintenance   vendor support on proprietary sw     -> bundled vs separate, tier level
#
# ⚠ CLASSIFYING SOMETHING AS HOSTING IS NOT A DEFENCE OF THE SPEND. It is the
# opposite: hosting is the class where an external rate card makes overcharging
# provable. WP Engine's public pricing is knowable, so $177K over a known number of
# sites is checkable arithmetic -- a firmer finding than any open-source swap.
#
# --- cloud infrastructure: the lever is price and rightsizing, not substitution ---
# --- managed hosting: the lever is a PRICE BENCHMARK first, self-hosting second ---
# --- paid tiers of software that is ALREADY open source ---
# The lever is not substitution - the substitute is the same product. Ask whether the
# commercial tier earns its price.
# --- content, not software: no code substitutes for a training library ---
# ⚠ GARTNER WAS CHALLENGED ("is it really just content for $17M?") AND THE ANSWER
# HELD, but the evidence changed the LEVER. Verified 2026-08-11 against the NYS OGS
# award notice for the vehicle this rides (Group 73001, Award NEG-22601, contract
# PS66085, "Information Advisory Services"): across 201 pages of service
# descriptions the word "Consulting" appears ZERO times, while Research appears
# 1907 times and Executive Programs 525. What is sold is subscription research,
# Executive Programs, Peer Insights and conference tickets, licensed to named
# "Licensed Users" under a usage and content-compliance policy. So it is content,
# and `professional-services` would be wrong.
# ⚠ TWO INTERNAL NOTES, kept in this comment rather than in `why` because `why` is
# RENDERED on the family page and these are research leads, not published claims:
#   1. The NYC contract is recorded as `Intergovernmental OGS` and starts
#      11/01/2024, but PS66085 EXPIRED 06/12/2024 and the OGS notice said OGS
#      "anticipate[d] a lapse in contract coverage". So which vehicle does this
#      $17.5M actually ride? `procurement_method` is a coarse label and a successor
#      award may well exist -- this is a question to ASK, not a finding to publish.
#   2. The service descriptions read here are the 2013-2024 vehicle's. They are
#      strong evidence of what Gartner sells NYS government, but they are not the
#      current agreement, which we have not seen.
# --- corrected by web verification, 2026-08-13 -------------------------------
# ⚠ The classifier read "Investigative case management" as a LEGAL function. It
# is not: Casebuilder is SoundThinking's police investigation platform (formerly
# ShotSpotter Investigate), sold to NYPD by SoundThinking Inc -- the same vendor
# as the $43.9M gunshot-detection contracts. Confirmed against our own data
# (vendor_name = SoundThinking Inc, agency = NYPD) before changing anything; the
# web search alone would not have been sufficient evidence.
# ⚠ NOT merged into the SoundThinking family on purpose. Gunshot detection and
# investigation management are genuinely different products, and this file's own
# rule is to prefer separate in that case. The $89.95M vendor relationship is
# already visible on the SoundThinking Inc vendor profile, which lists both.
# --- IBM, split into its three real products 2026-08-11 -----------------------
# ⚠ THESE ROWS EXIST SO THE SPLIT DOES NOT COST COVERAGE. Splitting the `IBM`
# family (see license_family_curated.csv) creates three families the AI pass has
# never seen, and an unclassified family falls into the `(unclassified)` bucket --
# so without these, $1.23M would have moved from classified to unclassified and the
# split would have read as a regression on the page.
# ⚠ The function tags are the actual point of the split: one family could carry only
# ONE, and `database-platform` was wrong for two thirds of the value.
#
# --- genuine software licenses, where an open-source substitute IS the lever ---
#
# ⚠⚠ MICROSOFT IS 47% OF THE WHOLE PAGE AND WAS UNREVIEWED `auto`. Pinned 2026-08-11
# after the documented class rollup was found to disagree with prod. The old table in
# CLAUDE.md read `support-maintenance` $689M (50.3%) / `software-licence` $345M
# (25.2%) and concluded "only a quarter of license spend is an open-source-
# substitution question". That table REQUIRED this family to be support-maintenance.
# Measured three ways (Postgres, the /oce/licenses payload, the rendered page): it is
# `software-licence`, and the real rollup is software-licence $984.7M (71.9%) /
# managed-hosting $265.5M (19.4%) / support-maintenance $43.3M (3.2%). Roughly three
# quarters, not a quarter.
# ⚠ `capability` is deliberately BLANK: the loader reads blank as "leave the AI's
# value alone" (currently office-productivity), so pinning the CLASS does not quietly
# move this family in the cross-agency function view. Re-tagging the function of an
# ELA that spans an OS, a database and a productivity suite is a separate judgement.
#
# ⚠ TOP-20 REVIEW, drafted 2026-08-11. The 16 rows below complete the
# hand-review of the top 20 families by value ($487.9M that was tier='auto').
# Each confirms or refines the AI's class with the reasoning stated; evidence is
# the family's own contract records plus the cited identity findings in
# docs/license-identity-review.md. `capability` is left blank ON PURPOSE -- blank
# keeps the AI's function tag (the Microsoft precedent); filling it moves the
# family in the cross-agency view.
"family","class","lever","capability","why"
"IBM Guardium","software-licence","open-source-substitute","database-platform","ACS database activity monitoring and security. ⚠ The `database-platform` function tag is the closest the 47-tag vocabulary offers and it is NOT right: Guardium is data SECURITY, not a database engine. Recorded here rather than papered over - the vocabulary has no data-security tag, and inventing one for a $120K line was not worth the churn."
"IBM","support-maintenance","is-the-paid-tier-needed","","After the product split this family holds ONLY the contracts whose product is the unattributable string `IBM Software`. 91% of it ($5.31M, DOF, via GlassHouse Systems) is recorded as ""Enterprise software maintenance and support"", which is why the class is support rather than license - and support on WHAT is precisely what the record does not say. The lever is therefore a scope question before a price one: what products this maintenance covers, and whether the City still runs them. ⚠ Do NOT read the 2022 end date as a lapse: 72% of all 948 license contracts in this analysis ended before 2026, so this set is largely historical and an expired term is the norm, not a finding."
"Microsoft","software-licence","open-source-substitute","","The single largest line on the page by a wide margin. `software-licence` is correct: 89.2% of the family ($573.8M) is the Microsoft ELA, a license to run Windows, Office and SQL Server, and calling that 'support' is what produced a false 50.3% support-maintenance headline. ⚠ THE CLASS IS RIGHT AND THE TAIL IS MISFILED: $68.9M here is genuinely vendor support - Unified Support $57.0M, Premier Support $11.4M, Premier Services $0.4M - and one class per FAMILY cannot represent a family whose products span classes. That is 5.0% of total license value, accepted deliberately rather than unmerging the family and splitting one vendor relationship across pages. Two levers, not one: the ELA is the substitution question, the $68.9M support tail is a bundled-vs-separate and support-tier question."
"SurveyMonkey","software-licence","open-source-substitute","","See license_replacement_candidates.csv - LimeSurvey is a strong match."
"SurveyGizmo","software-licence","open-source-substitute","","Survey data collection."
"Alchemer","software-licence","open-source-substitute","","Survey data collection (SurveyGizmo renamed to Alchemer - candidate for a curated family merge)."
"Hootsuite","software-licence","open-source-substitute","","Social media scheduling, 2 agencies. Largest `high`-rated line and the catalogue has NOTHING for it."
"Voicecast","software-licence","open-source-substitute","","Mobile text messaging. No catalogue match; overlaps Twilio ($529K) so check for duplicate capability across the two."
"Acuvate Chatbot","software-licence","open-source-substitute","","Customer-service automation. Only experimental catalogue options."
"Fulcrum","software-licence","open-source-substitute","","Field data collection. No catalogue match."
"GoToMyPC","software-licence","open-source-substitute","","Remote desktop. Strong catalogue matches (Guacamole, Remmina, RustDesk)."
"IssueTrak","software-licence","open-source-substitute","","Helpdesk ticketing. Zammad and iTop are strong matches."
"Track-It!","software-licence","open-source-substitute","","IT helpdesk. Same matches as IssueTrak."
"Absorb LMS","software-licence","open-source-substitute","","LMS platform - this IS replaceable by Moodle, unlike the content subscriptions above."
"Seamless GovOS","software-licence","open-source-substitute","","Digital forms and workflow automation."
"Spectrio","software-licence","open-source-substitute","","Digital signage. No catalogue match."
"OrgChart Now","software-licence","open-source-substitute","","Org chart visualisation. Only partial matches (Diagrams.net)."
"Axon","managed-hosting","benchmark-then-self-host","","Led by NYPD body-worn cameras. Cameras, TASERs and the Evidence.com cloud are sold as one ecosystem, so the digital-evidence platform is a hosted service with no public rate card and high exit costs - the bespoke end of hosting. The price lever is the renewal itself: 3 of 7 contracts are renewals and 1 is Sole Source, so the terms to check are bundle pricing per device/seat and data-egress rights, not a substitute product. NYPD moved to Axon after it acquired VIEVU, the original 2016 camera vendor, in 2018 - the market consolidated around the incumbent."
"Intergraph CAD","software-licence","open-source-substitute","","A single Sole Source NYPD contract for 911 computer-aided dispatch, and one of the largest lines on the page. The class is right but the substitution question is mostly formal: mission-critical CAD has no credible open-source replacement, so the real levers are the sole-source renewal terms and vendor risk - Hexagon (which acquired Intergraph in 2010) spun the dispatch division out into Octave in 2026, so the counterparty and roadmap changed mid-term."
"NICE","software-licence","open-source-substitute","","Held by DoITT and criminal justice agencies. NICE is the vendor name, not one product: the contracts buy its public-safety suite - NICE Inform for 911 logging and recording, NICE Investigate/Evidencentral for digital evidence. Kept as one family because the products share a vendor relationship and a function. No open-source substitute exists for evidentiary-grade 911 logging, so the working lever is the Sole Source and Amendment renewal terms."
"SoundThinking (ShotSpotter)","managed-hosting","benchmark-then-self-host","","Over 2 NYPD renewals for acoustic gunshot detection. This is a vendor-operated sensor network with monitoring and alerting delivered as a service - hosting in the 'someone else runs it' sense, with no public rate card. Commercial pricing is quoted per square mile of coverage, so the checkable figure is cost per covered area against other cities' published contracts. Same vendor as the $46.1M Casebuilder line: one relationship near $90M, kept as two families because they are genuinely different products."
"Ivalua","managed-hosting","benchmark-then-self-host","","On a single renewal held by the Office of Contract Services: Ivalua is the platform underneath PASSPort, the City's own procurement portal - including the contract records this analysis reads. Bespoke SaaS with no public rate card and switching costs near the maximum possible, so the benchmark lever is soft; what is checkable at renewal is scope, per-module pricing and the implementation-services share of the bill."
"ConvergeOne Call Center Solution","managed-hosting","benchmark-then-self-host","","On one GSA contract at the Department of Social Services. A cited identity check found this is a managed contact-center service and systems-integration deal, not a proprietary product - the software underneath is NICE CXone, operated for the agency by C1 (formerly ConvergeOne). It stays in the hosting class because the purchase is 'someone else runs it', and contact-center-as-a-service is one of the rare bespoke categories with public benchmarks: usage-priced competitors publish rate cards, so cost per agent seat and per minute is a checkable figure."
"Citrix","software-licence","open-source-substitute","","Bought separately across many agencies - virtual apps and desktops, NetScaler load balancing and ShareFile, bought separately (8 of 11 via MWBE small purchase). The substitution question is real but partial: the catalogue maps remote access to Apache Guacamole at partial confidence, and nothing maps the NetScaler or virtualization estate. The nearer-term question is fragmentation - 8 agencies buying one vendor's portfolio on 11 separate contracts."
"Cyclomedia","content-subscription","is-the-content-needed","","On one GSA contract at DoITT for citywide streetscape imagery. This buys data - periodic capture of street-level imagery and derived products - not software, so a substitute product is the wrong question. The content questions are the real ones: capture frequency against actual refresh need, overlap with imagery the City already commissions, and whether usage justifies citywide coverage."
"Broadcom (CA)","support-maintenance","is-the-paid-tier-needed","","The legacy CA Technologies portfolio - mainframe systems management, the CA-IDMS database, Erwin data modeling - bought through resellers since Broadcom acquired CA in 2018. Recorded purposes mix licenses with maintenance and support, and on a shrinking platform the two are inseparable: nobody adopts CA-IDMS today, they pay to keep it running. The lever is not a support tier or a substitute; it is the mainframe exit timeline - every renewal should carry a date question, not just a price one."
"Tyler Technologies Property Tax System","software-licence","open-source-substitute","","A single Department of Finance renewal for property tax administration. Specialized government software with a thin vendor market and no open-source equivalent - the catalogue has nothing in property assessment - so the substitution lever is formal only. The function view is where this spend should be read: property assessment shows 4 products across 4 agencies doing adjacent parts of the same tax job."
"Information Builders (WebFOCUS)","software-licence","open-source-substitute","","On one NYPD amendment for WebFOCUS business intelligence and reporting - a legacy BI platform at a single agency. Citywide, the BI and dashboards function already spans 6 products across 9 agencies, so the practical question is consolidation onto the City's mainstream BI stack rather than a like-for-like swap; open-source BI exists, but the migration cost is the accumulated report estate, not the license."
"Esri ArcGIS","software-licence","open-source-substitute","","Bought separately across many agencies, mostly on GSA schedule - the strongest substitution case in the whole analysis: the catalogue maps ArcGIS Desktop and Pro to QGIS at strong confidence, with 69 government adopters. The split matters: ArcGIS Server maps only to GeoServer at partial, so desktop seats and server infrastructure are different migration projects with different risk. See the replacement candidates on this page."
"Dataminr","content-subscription","is-the-content-needed","","Bought separately by NYPD, Emergency Management, Homeless Services, Social Services and others each subscribing separately to the same real-time event-alerting feed. This is a data service, not software: the product is the alerts. Two questions: whether each agency's subscription earns its keep (the classic content question), and why five agencies hold fifteen separate short-term contracts for one feed rather than a citywide agreement."
"BioVault/AFIS","software-licence","open-source-substitute","","A single NYPD renewal with IDEMIA for automated fingerprint identification (AFIS) and biometric storage. No open-source substitute exists; the vendor market is a handful of global biometric firms, so the working lever is competitive re-procurement among them at renewal rather than substitution - and the data-portability terms that make re-procurement possible at all."
"Infor","software-licence","open-source-substitute","","At Environmental Protection, Buildings and Correction - enterprise asset management (Infor EAM) plus Infor Public Sector ERP and permitting. One caution from the cited identity check: Infor sold the standalone EAM product line to Hexagon in 2021, so part of this family's product now belongs to a different vendor and renewal paperwork may not match the original nameplate. The facilities and maintenance function shows 4 products across 6 agencies - a crowded field."
"LegalStratus","software-licence","open-source-substitute","","Via Carahsoft for legal matter management. A cited identity check found LegalStratus is a Salesforce-based application acquired by Litify in 2021 - the license rides the Salesforce platform, so the dependency to price is two vendors deep. Legal case management citywide spans 11 products across 7 agencies; that fragmentation, not substitution, is the actionable finding."
"Salesforce","managed-hosting","benchmark-then-self-host","","Matter management, CRM and case work, every line bought through a reseller - and the licence figure understates the City's Salesforce relationship in three ways this page cannot otherwise show. ⚠ FIRST, a $75M CITYWIDE SALESFORCE PURCHASING CONTRACT (DoITT via Carahsoft, 2024-2029, EPIN 85824O0003001) is not registered, so it carries no contract number and is invisible to this analysis; it appears under pipeline agreements as a ceiling. ⚠ SECOND, the City buys no Salesforce directly - SALESFORCE.COM, INC. is in the vendor registry with zero prime contracts, so every line runs through a reseller. ⚠ THIRD, platform spend is mostly LABOR: implementers and developers are services, not licences, so they are correctly absent here. OTI's published data-sharing agreement for the MyCity Childcare Application states it was built on an OTI-contracted Salesforce implementation; the Comptroller's 2025 MyCity audit reports $100M across 120+ agreements but names no platform, and nothing in the City's own contract data links MyCity to Salesforce - so treat the size of any Salesforce component of MyCity as unknown from this data, and the lever as the citywide vehicle's terms."
#
# ⚠ SECOND TOP-20 REVIEW, 2026-08-12, after the full-population classification
# grew the inventory from 948 to 1,601 contracts and pushed six new families into
# the top 20. ⚠ NO OWN-SCOPE FIGURES in these rows: the family page renders value,
# contract count and agency count immediately above `why`, and a typed copy of
# them drifts the moment the inventory changes -- which is exactly what happened
# to 28 of the rows above when this run landed.
Summer,managed-hosting,benchmark-then-self-host,,"Public Service Loan Forgiveness assistance for City employees, bought by DCAS off a GSA schedule from Summer PBC. ⚠⚠ THE LICENCE CLASSIFICATION IS THE THING TO CHECK HERE, not the lever: this is an employee-benefit service delivered through a vendor's platform, priced per participating employee, and the spend is advisory capacity rather than software. It sits in the licence inventory because the classifier saw a subscription-shaped platform purchase; a reader should treat its presence as a question. Hosting is the closest honest class because the vendor runs the platform, and the lever is participation and take-up - how many employees actually used it - which this data cannot show."
Geotab,managed-hosting,benchmark-then-self-host,,"Vehicle telematics and GPS tracking for the City fleet, held by DCAS. ⚠ The largest line runs through AT&T MOBILITY rather than Geotab, so cellular connectivity for the in-vehicle devices is bundled into the price - which is why the vendor table shows a telecom carrier as a software supplier. Telematics is genuinely benchmarkable: it is quoted per vehicle per month across the industry, so the checkable figure is cost per tracked vehicle including connectivity. ⚠ Read alongside AssetWorks, also fleet management and also at DCAS: two fleet platforms in one agency is a consolidation question the per-product view cannot ask."
AssetWorks,software-licence,open-source-substitute,,"Fleet asset management and fuel management (FleetFocus/FuelFocus) at DCAS and Municipal Supply Services. Specialised public-sector fleet software with no open-source equivalent in the catalogue, so substitution is a formal answer rather than a real lever. ⚠ The real question is overlap: Geotab covers telematics for the same fleet in the same agency, and the boundary between 'asset management' and 'telematics' is a vendor distinction more than a functional one. Ask what each system is authoritative for before renewing either."
Itineris UMAX,software-licence,open-source-substitute,,"The Department of Environmental Protection's customer information system for water billing and revenue management, bought Sole Source. Utility CIS is a small specialised market - no open-source substitute exists at this scale - so substitution is formal and the lever is elsewhere. ⚠ This is one of the largest Sole Source awards in the inventory, and the page states that a large Sole Source is the route worth questioning: the questions are the sole-source justification, the term length, and how much of the value is licence versus implementation."
Talkspace,managed-hosting,benchmark-then-self-host,,"Virtual mental-health support for New Yorkers, bought by DOHMH as a Demonstration Project. ⚠⚠ THIS IS CLINICAL SERVICE DELIVERY, NOT A SOFTWARE PURCHASE: the spend buys licensed therapists' time, delivered through the vendor's app. Like Summer, it is in the licence inventory because a subscription-shaped platform contract looks like one, and its presence is a claim to check rather than a finding. No software substitution question applies - a therapist is not replaceable by open source. The lever is utilisation and clinical outcomes per participant, which this data cannot measure; the Demonstration Project route means the contract is explicitly an experiment and should have evaluation terms attached."
